word,consistency
bovine,high
burden,high
cancel,high
cellar,high
cherry,high
corset,high
decade,high
forest,high
funnel,high
fabric,high
hermit,high
hostel,high
liquor,high
magnet,high
motion,high
muster,high
pamper,high
potent,high
rustle,high
tandem,high
tartan,high
vermin,high
volley,high
wallet,high
zenith,high
bishop,low
burlap,low
cannon,low
census,low
chili,low
cortex,low
damage,low
famine,low
fathom,low
fungus,low
herpes,low
horror,low
liquid,low
mascot,low
menace,low
mutton,low
pastor,low
proton,low
rumpus,low
talcum,low
tarmac,low
vertex,low
volume,low
walrus,low
zircon,low